category,avg_alpha,avg_beta,avg_sharpe,avg_sortino,avg_volatility,total_schemes
ELSS,0.54,0.98,0.8,1.03,17.0,1
Flexi Cap,1.82,0.98,0.97,1.47,16.0,2
Gilt,1.25,0.3,1.42,2.24,4.0,2
Index,0.93,0.9,0.93,1.29,13.0,1
Index/ETF,1.8,1.04,0.91,1.24,13.0,1
Large & Mid Cap,1.7,0.99,0.91,1.55,16.0,1
Large Cap,1.25,0.94,0.93,1.42,14.0,14
Liquid,1.52,0.39,6.33,9.61,0.5,3
Mid Cap,1.17,0.98,0.87,1.35,19.0,7
Short Duration,1.98,0.44,1.84,2.79,4.0,1
Small Cap,1.03,0.98,0.87,1.38,25.0,6
Value,0.55,0.92,0.98,1.5,15.0,1
