investor_id,days_gap,churn_risk_status
INV000001,76.0,At-Risk
INV000002,238.0,At-Risk
INV000003,238.0,At-Risk
INV000004,265.0,At-Risk
INV000005,19.0,Active
INV000006,295.0,At-Risk
INV000007,177.0,At-Risk
INV000008,165.0,At-Risk
INV000009,162.0,At-Risk
INV000010,139.0,At-Risk
INV000011,125.0,At-Risk
INV000012,132.0,At-Risk
INV000013,104.0,At-Risk
INV000014,128.0,At-Risk
INV000015,,Active
INV000016,,Active
INV000017,,Active
INV000018,50.0,At-Risk
INV000019,406.0,At-Risk
INV000020,16.0,Active
INV000021,282.0,At-Risk
INV000022,40.0,At-Risk
INV000023,115.0,At-Risk
INV000024,167.0,At-Risk
INV000025,,Active
INV000026,157.0,At-Risk
INV000027,341.0,At-Risk
INV000028,238.0,At-Risk
INV000029,96.0,At-Risk
INV000030,100.0,At-Risk
INV000031,276.0,At-Risk
INV000032,166.0,At-Risk
INV000033,87.0,At-Risk
INV000034,,Active
INV000035,144.0,At-Risk
INV000036,99.0,At-Risk
INV000037,63.0,At-Risk
INV000038,183.0,At-Risk
INV000039,129.0,At-Risk
INV000040,118.0,At-Risk
INV000041,,Active
INV000042,32.0,Active
INV000043,,Active
INV000044,17.0,Active
INV000045,109.0,At-Risk
INV000046,54.0,At-Risk
INV000047,77.0,At-Risk
INV000048,168.0,At-Risk
INV000049,425.0,At-Risk
INV000050,143.0,At-Risk
INV000051,82.0,At-Risk
INV000052,120.0,At-Risk
INV000053,7.0,Active
INV000054,103.0,At-Risk
INV000055,156.0,At-Risk
INV000056,161.0,At-Risk
INV000057,149.0,At-Risk
INV000058,121.0,At-Risk
INV000059,,Active
INV000060,90.0,At-Risk
INV000061,25.0,Active
INV000062,215.0,At-Risk
INV000063,403.0,At-Risk
INV000065,165.0,At-Risk
INV000066,98.0,At-Risk
INV000067,,Active
INV000069,129.0,At-Risk
INV000070,145.0,At-Risk
INV000071,57.0,At-Risk
INV000072,247.0,At-Risk
INV000073,112.0,At-Risk
INV000074,191.0,At-Risk
INV000075,102.0,At-Risk
INV000076,203.0,At-Risk
INV000078,,Active
INV000079,90.0,At-Risk
INV000080,173.0,At-Risk
INV000081,167.0,At-Risk
INV000082,351.0,At-Risk
INV000083,,Active
INV000084,155.0,At-Risk
INV000085,300.0,At-Risk
INV000086,167.0,At-Risk
INV000087,202.0,At-Risk
INV000088,9.0,Active
INV000089,177.0,At-Risk
INV000090,249.0,At-Risk
INV000091,105.0,At-Risk
INV000092,14.0,Active
