amfi_code,total_invested_inr,accumulated_units,final_evaluation_date,terminal_value_inr,absolute_sip_return_pct
100016,265000.0,474.2072,2026-05-29,276752.69,4.43
100025,265000.0,9157.1815,2026-05-29,291970.32,10.18
100033,265000.0,1620.2125,2026-05-29,554124.34,109.1
101206,265000.0,652.6402,2026-05-29,504682.66,90.45
101207,265000.0,4653.9577,2026-05-29,251237.39,-5.19
101208,265000.0,745.7314,2026-05-29,305826.02,15.41
102885,265000.0,2187.7442,2026-05-29,410813.96,55.02
102886,265000.0,1953.7047,2026-05-29,245314.97,-7.43
102887,265000.0,1180.9183,2026-05-29,447527.53,68.88
118632,265000.0,3845.2699,2026-05-29,425115.35,60.42
118633,265000.0,4423.2209,2026-05-29,405171.46,52.89
118634,265000.0,2693.8081,2026-05-29,362770.56,36.89
118635,265000.0,1233.2869,2026-05-29,402977.48,52.07
118636,265000.0,7921.9628,2026-05-29,299642.7,13.07
119092,265000.0,5595.8864,2026-05-29,284487.59,7.35
119093,265000.0,6225.9442,2026-05-29,363721.53,37.25
119094,265000.0,2548.4603,2026-05-29,519524.28,96.05
119095,265000.0,3610.9515,2026-05-29,202689.57,-23.51
119120,265000.0,5508.9473,2026-05-29,298605.88,12.68
119551,265000.0,3660.9922,2026-05-29,546665.22,106.29
119552,265000.0,2873.0115,2026-05-29,395706.48,49.32
119598,265000.0,1625.5744,2026-05-29,502635.75,89.67
119599,265000.0,2506.6313,2026-05-29,264411.75,-0.22
120503,265000.0,3099.5378,2026-05-29,366209.15,38.19
120504,265000.0,2930.8892,2026-05-29,442948.51,67.15
120505,265000.0,1039.0109,2026-05-29,492245.96,85.75
120506,265000.0,1001.9424,2026-05-29,405206.24,52.91
120507,265000.0,801.6615,2026-05-29,311520.78,17.56
120841,265000.0,779.0715,2026-05-29,375611.41,41.74
120842,265000.0,3940.7862,2026-05-29,325689.03,22.9
120843,265000.0,3232.4313,2026-05-29,527661.12,99.12
120844,265000.0,72.1877,2026-05-29,308136.57,16.28
125497,265000.0,347.001,2026-05-29,418121.29,57.78
125498,265000.0,1961.6735,2026-05-29,369504.54,39.44
148567,265000.0,2254.0546,2026-05-29,519042.95,95.87
148568,265000.0,1965.2554,2026-05-29,403763.69,52.36
148569,265000.0,5345.1266,2026-05-29,522451.38,97.15
149322,265000.0,634.7864,2026-05-29,384829.68,45.22
149323,265000.0,2057.3252,2026-05-29,504795.8,90.49
149324,265000.0,2060.2734,2026-05-29,576363.75,117.5
