month_period,sip_inflow_crore,previous_month_inflow_crore,computed_mom_growth_pct
2022-01,11517,,
2022-02,11438,11517.0,0.0
2022-03,12328,11438.0,0.0
2022-04,11863,12328.0,0.0
2022-05,12286,11863.0,0.0
2022-06,12276,12286.0,0.0
2022-07,12140,12276.0,0.0
2022-08,12694,12140.0,0.0
2022-09,12976,12694.0,0.0
2022-10,13040,12976.0,0.0
2022-11,13306,13040.0,0.0
2022-12,13573,13306.0,0.0
2023-01,13856,13573.0,0.0
2023-02,13687,13856.0,0.0
2023-03,14276,13687.0,0.0
2023-04,14749,14276.0,0.0
2023-05,14749,14749.0,0.0
2023-06,14734,14749.0,0.0
2023-07,15245,14734.0,0.0
2023-08,15814,15245.0,0.0
2023-09,16042,15814.0,0.0
2023-10,16928,16042.0,0.0
2023-11,17073,16928.0,0.0
2023-12,17610,17073.0,0.0
2024-01,18838,17610.0,0.0
2024-02,19187,18838.0,0.0
2024-03,20371,19187.0,0.0
2024-04,20371,20371.0,0.0
2024-05,21262,20371.0,0.0
2024-06,21262,21262.0,0.0
2024-07,23332,21262.0,0.0
2024-08,23547,23332.0,0.0
2024-09,24509,23547.0,0.0
2024-10,25323,24509.0,0.0
2024-11,25320,25323.0,0.0
2024-12,26459,25320.0,0.0
2025-01,26400,26459.0,0.0
2025-02,25999,26400.0,0.0
2025-03,25926,25999.0,0.0
2025-04,26632,25926.0,0.0
2025-05,26688,26632.0,0.0
2025-06,27274,26688.0,0.0
2025-07,28464,27274.0,0.0
2025-08,28265,28464.0,0.0
2025-09,29361,28265.0,0.0
2025-10,29529,29361.0,0.0
2025-11,30200,29529.0,0.0
2025-12,31002,30200.0,0.0
